code	House/bungalow	Flat/maisonette/apartment	Caravan/mobile/temporary home
E00000305	10	126	0
E00000306	111	7	0
E00000307	98	48	0
E00000308	129	36	0
E00000309	8	104	0
E00000310	78	61	0
E00000311	132	3	0
E00000312	114	9	0
E00000313	135	9	0
E00000314	118	18	0
E00000315	110	2	0
E00000316	113	21	0
E00000317	17	83	0
E00000318	43	69	0
E00000319	114	11	0
E00000320	135	2	0
E00000321	91	32	0
E00000322	117	12	0
E00000323	69	57	0
E00000324	87	60	0
E00000325	113	19	0
E00000326	103	50	0
E00000327	3	125	0
E00000328	8	129	0
E00000329	3	127	0
E00000330	8	119	0
E00000331	79	57	0
E00000332	142	1	0
E00000333	123	1	0
E00000334	115	7	0
E00000335	117	4	0
E00000336	135	1	0
E00000337	48	69	0
E00000338	111	7	0
E00000339	113	5	0
E00000340	104	9	0
E00000341	100	34	0
E00000342	102	7	0
E00000343	129	8	0
E00000344	111	12	0
E00000345	140	1	0
E00000346	81	26	0
E00000347	120	3	0
E00000348	104	108	0
E00000349	126	1	0
E00000350	104	4	0
E00000351	134	2	0
E00000352	84	103	0
E00000353	112	12	0
E00000354	61	71	0
E00000355	77	79	0
E00000356	102	26	0
E00000357	112	39	0
E00000358	3	132	0
E00000360	100	15	0
E00000361	95	36	0
E00000362	110	1	0
E00000363	88	16	0
E00000364	95	8	0
E00000365	54	42	0
E00000366	95	9	0
E00000367	138	3	0
E00000368	103	11	0
E00000369	104	12	0
E00000370	122	2	0
E00000371	103	20	0
E00000372	108	27	0
E00000373	108	17	0
E00000374	119	10	0
E00000375	101	6	0
E00000376	124	3	0
E00000377	95	17	1
E00000378	45	81	0
E00000379	132	8	0
E00000380	135	16	0
E00000381	108	21	0
E00000382	118	8	0
E00000383	103	11	0
E00000384	114	20	0
E00000385	96	43	0
E00000386	125	3	0
E00000387	103	13	0
E00000388	103	14	0
E00000389	118	11	0
E00000390	124	12	0
E00000391	114	13	0
E00000392	109	16	0
E00000393	130	12	0
E00000394	115	0	0
E00000395	128	11	0
E00000396	104	24	0
E00000397	101	43	0
E00000398	121	8	0
E00000399	106	13	0
E00000400	121	4	0
E00000401	105	19	0
E00000402	100	17	0
E00000403	133	11	0
E00000404	126	5	0
E00000405	96	16	0
E00000406	114	10	0
E00000407	113	20	0
E00000408	110	7	1
E00000409	125	3	0
E00000410	105	6	0
E00000411	97	10	0
E00000412	82	50	0
E00000413	108	5	1
E00000414	90	20	0
E00000415	115	7	0
E00000416	103	67	0
E00000417	118	0	0
E00000418	103	35	0
E00000419	103	16	0
E00000420	91	2	0
E00000421	114	13	0
E00000422	139	6	0
E00000423	124	3	0
E00000424	86	56	0
E00000425	123	16	0
E00000426	99	5	0
E00000427	105	8	0
E00000428	119	9	0
E00000429	103	18	0
E00000430	95	15	0
E00000431	89	71	0
E00000432	116	5	4
E00000433	108	4	0
E00000434	120	13	0
E00000435	111	23	0
E00000436	116	4	0
E00000437	113	25	0
E00000438	135	16	0
E00000439	101	1	0
E00000440	120	26	0
E00000441	127	11	0
E00000442	106	23	0
E00000443	113	6	0
E00000444	107	6	0
E00000445	126	7	0
E00000446	124	7	0
E00000447	44	62	0
E00000448	116	7	0
E00000449	103	50	0
E00000450	102	43	0
E00000451	75	15	0
E00000452	144	74	0
E00000453	84	45	0
E00000454	28	96	0
E00000455	120	13	0
E00000456	37	109	0
E00000457	32	75	0
E00000458	4	86	0
E00000459	5	79	1
E00000460	8	83	0
E00000461	84	6	0
E00000462	66	43	0
E00000463	138	0	0
E00000464	132	6	0
E00000465	76	76	0
E00000466	65	54	0
E00000467	94	37	0
E00000468	34	55	0
E00000469	109	29	0
E00000470	106	17	0
E00000471	76	62	0
E00000472	24	93	0
E00000474	100	33	0
E00000475	38	90	0
E00000476	22	116	0
E00000477	7	41	0
E00000478	111	5	0
E00000479	2	45	0
E00000480	42	97	1
E00000481	101	36	0
E00000482	123	4	0
E00000483	124	2	0
E00000484	151	8	0
E00000485	126	8	0
E00000486	127	5	0
E00000487	85	34	0
E00000488	135	5	0
E00000489	108	27	0
E00000490	139	5	0
E00000491	99	34	0
E00000492	121	0	0
E00000493	101	20	0
E00000494	116	19	0
E00000495	111	6	0
E00000496	104	3	0
E00000497	106	14	0
E00000498	112	2	0
E00000499	101	28	0
E00000500	111	14	0
E00000501	63	35	0
E00000502	103	17	0
E00000503	109	4	0
E00000504	68	26	0
E00000505	123	3	0
E00000506	128	4	0
E00000507	136	3	0
E00000508	89	24	0
E00000509	84	43	0
E00000510	102	66	1
E00000511	19	140	0
E00000512	67	69	0
E00000513	119	23	0
E00000514	81	28	0
E00000515	5	130	0
E00000516	29	86	0
E00000517	81	48	0
E00000518	67	48	0
E00000519	86	40	0
E00000520	108	91	0
E00000521	116	18	0
E00000522	10	138	0
E00000523	78	44	0
E00000524	16	107	0
E00000525	59	118	0
E00000526	55	87	0
E00000527	113	7	0
E00000528	35	89	0
E00000529	50	34	0
E00000530	15	100	0
E00000531	36	80	0
E00000532	128	9	0
E00000533	93	77	0
E00000534	107	7	0
E00000535	96	2	0
E00000536	9	104	0
E00000537	69	69	0
E00000538	89	15	0
E00000539	111	5	0
E00000540	119	2	0
E00000541	26	117	0
E00000542	4	115	1
E00000543	97	35	0
E00000544	74	66	0
E00000545	77	44	0
E00000546	82	25	0
E00000547	118	8	0
E00000548	85	46	0
E00000549	34	113	0
E00000550	122	12	0
E00000551	48	81	0
E00000552	122	6	0
E00000553	110	39	0
E00000554	112	4	0
E00000555	129	4	0
E00000556	117	3	0
E00000557	94	7	0
E00000558	53	66	0
E00000559	124	8	0
E00000560	108	22	0
E00000561	96	26	0
E00000562	138	2	0
E00000563	31	91	0
E00000564	100	9	0
E00000565	70	44	0
E00000566	34	144	0
E00000567	66	49	0
E00000568	32	103	0
E00000569	114	8	0
E00000570	102	10	0
E00000571	108	29	0
E00000572	107	24	0
E00000573	117	58	0
E00000574	104	4	0
E00000575	117	5	0
E00000576	109	9	0
E00000577	65	35	0
E00000578	131	4	0
E00000579	124	3	0
E00000580	126	2	0
E00000581	138	102	0
E00000582	222	12	0
E00000583	106	84	0
E00000584	120	7	0
E00000585	119	3	0
E00000586	124	3	0
E00000587	127	0	0
E00000588	121	7	0
E00000589	109	30	0
E00000590	111	8	0
E00000591	117	3	0
E00000592	101	22	0
E00000593	124	0	1
E00000594	132	4	0
E00000595	75	60	0
E00000596	96	36	0
E00000597	103	14	0
E00000598	132	2	0
E00000599	74	52	0
E00000600	129	8	0
E00000601	130	1	0
E00000602	93	41	0
E00000603	103	29	0
E00000604	86	54	0
E00000605	111	26	0
E00000606	70	64	0
E00000607	30	89	0
E00000608	119	3	0
E00000609	34	133	0
E00000610	129	2	0
E00000611	111	1	0
E00000612	109	2	0
E00000613	120	8	0
E00000614	114	0	0
E00000615	123	3	0
E00000616	86	43	0
E00000617	57	73	0
E00000618	118	11	0
E00000619	120	4	0
E00000620	135	2	0
E00000622	48	77	0
E00000623	128	12	0
E00000624	62	57	0
E00000625	105	21	0
E00000626	32	99	0
E00000627	9	113	0
E00000628	121	8	0
E00000629	124	7	0
E00000630	62	51	0
E00000631	106	11	0
E00000632	101	15	0
E00000633	101	25	0
E00000634	129	4	0
E00000635	70	31	0
E00000636	100	21	0
E00000637	80	39	0
E00000638	97	42	0
E00000640	114	7	0
E00000641	92	26	0
E00000642	104	11	0
E00000643	95	25	0
E00000644	96	29	0
E00000645	88	21	0
E00000646	101	16	0
E00000647	115	17	0
E00000648	111	5	0
E00000649	31	96	0
E00000650	73	58	0
E00000651	61	34	0
E00000652	2	117	0
E00000653	109	20	0
E00000654	86	31	0
E00000655	52	66	0
E00000656	65	56	0
E00000657	49	90	0
E00000658	118	26	0
E00000659	69	57	0
E00000660	86	28	0
E00000661	114	13	0
E00000662	104	13	0
E00000663	51	68	0
E00000664	49	79	0
E00000665	101	80	0
E00000666	12	112	1
E00000667	99	38	0
E00000668	82	55	0
E00000669	72	69	0
E00000670	105	25	0
E00000671	47	70	0
E00000672	68	65	0
E00000674	93	48	0
E00000675	4	141	0
E00000676	111	30	0
E00000677	28	107	0
E00000678	7	124	0
E00000679	28	97	0
E00000680	8	132	1
E00000681	23	125	0
E00000682	81	38	0
E00000683	70	53	0
E00000684	79	76	0
E00000685	24	142	2
E00000686	31	92	0
E00000687	52	63	0
E00000688	57	57	0
E00000689	70	26	0
E00000690	91	18	0
E00000691	24	87	0
E00000692	80	36	0
E00000693	27	84	0
E00000694	52	66	0
E00000695	105	15	0
E00000696	11	173	0
E00000697	124	8	0
E00000698	84	68	0
E00000699	70	57	0
E00000700	52	102	0
E00000701	69	57	0
E00000702	34	127	0
E00000703	107	31	0
E00000704	22	83	0
E00000705	94	34	0
E00000706	69	43	0
E00000707	93	46	0
E00000708	92	38	0
E00000709	7	153	0
E00000710	92	45	0
E00000711	27	116	0
E00000712	102	21	0
E00000713	95	47	0
E00000714	103	16	0
E00000715	78	69	0
E00000716	34	112	0
E00000717	1	112	0
E00000718	52	67	0
E00000719	41	98	0
E00000720	106	27	0
E00000721	16	137	0
E00000722	84	34	0
E00000723	103	38	0
E00000724	52	45	0
E00000725	98	23	0
E00000726	126	16	0
E00000727	116	17	0
E00000728	121	6	0
E00000729	108	20	0
E00000730	111	31	0
E00000731	66	67	0
E00000732	97	42	0
E00000733	60	54	0
E00000734	115	11	0
E00000736	74	26	0
E00000737	12	90	0
E00000738	61	68	0
E00000739	69	40	0
E00000740	64	43	0
E00000742	23	91	0
E00000743	49	68	0
E00000744	49	77	0
E00000745	16	96	0
E00000746	7	122	0
E00000747	15	94	0
E00000748	87	54	0
E00000749	3	121	0
E00000750	6	110	1
E00000751	65	58	0
E00000752	52	63	0
E00000754	24	88	0
E00000755	15	105	0
E00000756	30	101	0
E00000757	37	105	0
E00000758	26	79	0
E00000760	34	57	0
E00000761	6	101	0
E00000762	62	31	0
E00000763	26	87	0
E00000764	79	56	0
E00000765	65	64	0
E00000766	74	147	0
E00000767	38	88	0
E00000768	40	90	0
E00000769	96	70	0
E00000770	117	21	0
E00000771	30	66	0
E00000772	24	102	0
E00000773	36	105	0
E00000774	42	97	0
E00000775	39	116	0
E00000776	65	122	0
E00000777	63	71	0
E00000778	67	85	2
E00000779	98	38	0
E00000780	110	2	0
E00000781	98	49	0
E00000782	51	94	0
E00000783	35	82	0
E00000785	139	9	0
E00000786	133	47	0
E00000787	77	61	0
E00000788	120	3	0
E00000789	12	114	0
E00000790	2	115	0
E00000791	2	119	0
E00000792	37	82	0
E00000793	68	85	2
E00000794	112	19	0
E00000795	85	57	0
E00000796	17	106	0
E00000797	69	68	0
E00000798	36	89	0
E00000799	82	54	0
E00000800	79	69	0
E00000801	36	114	0
E00000802	76	52	0
E00000803	24	96	0
E00000804	110	55	0
E00000805	62	82	0
E00000806	87	25	0
E00000807	30	77	0
E00000808	35	93	0
E00000809	13	80	0
E00000810	55	48	0
E00000811	131	3	0
E00000812	126	21	0
E00000813	38	121	0
E00000814	60	44	0
E00000815	67	53	0
E00000816	67	54	0
E00000817	119	10	0
E00000818	35	87	0
E00000819	70	91	0
E00000820	104	11	0
E00000821	7	100	0
E00000822	71	28	0
E00000823	45	107	0
E00000824	55	53	0
E00000825	25	93	0
E00000826	62	57	0
E00000827	100	28	0
E00000828	101	6	0
E00000829	93	36	0
E00000830	66	105	0
E00000831	94	29	0
E00000832	112	4	0
E00000833	63	62	0
E00000834	102	6	0
E00000835	116	3	0
E00000836	121	1	0
E00000837	37	63	0
E00000838	11	113	0
E00000839	107	4	0
E00000840	41	103	0
E00000841	99	14	0
E00000842	63	55	0
E00000843	72	99	0
E00000844	111	5	0
E00000845	87	44	1
E00000846	132	4	1
E00000847	117	3	0
E00000848	121	0	0
E00000849	54	81	0
E00000850	109	4	0
E00000851	60	111	0
E00000852	101	5	0
E00000853	11	116	0
E00000854	117	3	0
E00000855	65	90	0
E00000856	126	3	0
E00000857	58	75	0
E00000858	139	7	0
E00000859	20	84	0
E00000860	98	28	0
E00000861	109	6	0
E00000862	139	24	0
E00000863	105	16	0
E00000864	134	2	0
E00000865	126	20	0
E00000866	93	64	0
E00000867	73	49	0
E00000868	50	71	0
E00000869	74	59	0
E00000870	38	74	0
E00000871	91	38	0
E00000872	22	98	0
E00000873	118	5	0
E00000874	42	73	0
E00000875	70	33	0
E00000876	98	11	0
E00000877	127	20	0
E00000878	80	28	0
E00000879	54	92	0
E00000880	33	106	0
E00000881	7	121	0
E00000882	74	55	0
E00000883	67	45	0
E00000884	75	51	0
E00000885	5	117	0
E00000886	65	55	0
E00000887	6	96	0
E00000888	37	82	0
E00000889	14	118	0
E00000890	82	20	0
E00000891	8	154	0
E00000892	112	25	0
E00000893	79	75	0
E00000894	40	97	0
E00000895	100	35	0
E00000896	30	88	0
E00000897	54	43	0
E00000898	102	61	0
E00000899	106	35	0
E00000900	112	24	0
E00000901	15	114	0
E00000902	5	129	0
E00000903	18	95	0
E00000904	46	51	0
E00000905	84	34	0
E00000906	19	95	0
E00000907	76	57	0
E00000908	13	109	0
E00000909	106	35	0
E00000910	90	40	0
E00000911	9	126	0
E00000912	12	122	0
E00000913	54	72	0
E00000914	50	60	0
E00000915	28	104	0
E00000916	60	76	0
E00000917	25	68	0
E00000918	3	142	0
E00000919	110	42	0
E00000920	68	95	0
E00000921	31	94	0
E00000922	123	0	0
E00000923	24	90	0
E00000924	82	35	0
E00000925	118	1	0
E00000926	114	3	0
E00000927	98	12	0
E00000928	124	2	0
E00000929	123	5	0
E00000930	123	2	0
E00000931	128	4	0
E00000932	116	41	0
E00000933	26	120	0
E00000934	115	7	0
E00000935	82	72	0
E00000936	122	4	0
E00000937	20	142	0
E00000938	111	21	0
E00000939	123	1	0
E00000940	84	39	0
E00000941	97	38	0
E00000942	8	114	0
E00000943	7	114	0
E00000944	126	11	0
E00000945	89	38	0
E00000946	14	137	0
E00000947	96	54	0
E00000948	125	2	0
E00000949	43	99	0
E00000950	91	34	0
E00000951	106	24	0
E00000952	95	16	0
E00000953	15	155	0
E00000954	124	4	0
E00000955	106	39	0
E00000956	77	67	0
E00000957	96	92	0
E00000958	45	125	0
E00000959	118	38	0
E00000960	118	19	0
E00000961	69	117	0
E00000962	103	7	1
E00000963	88	35	0
E00000964	37	123	0
E00000965	69	42	0
E00000966	34	105	0
E00000967	45	72	0
E00000968	140	16	0
E00000969	58	80	0
E00000970	75	49	0
E00000971	51	78	0
E00000972	112	18	0
E00000973	44	84	0
E00000974	32	87	0
E00000975	50	76	0
E00000976	18	110	0
E00000977	70	34	0
E00000978	55	55	0
E00000979	91	42	0
E00000980	4	123	0
E00000981	117	11	0
E00000982	116	11	0
E00000983	80	55	0
E00000984	71	97	0
E00000985	79	51	0
E00000986	43	75	0
E00000987	98	39	0
E00000988	80	49	0
E00000989	16	136	0
E00000990	60	62	0
E00000991	17	139	0
E00000992	43	85	0
E00000993	109	20	0
E00000994	6	127	0
E00000995	41	71	0
E00000996	26	107	0
E00000997	44	107	0
E00000998	4	139	0
E00000999	41	131	0
E00001000	23	121	0
E00001001	10	129	0
E00001002	139	4	0
E00001003	70	71	0
E00001004	100	36	0
E00001005	45	118	0
E00001006	112	14	0
E00001007	103	34	0
E00001008	83	58	0
E00001009	9	137	0
E00001010	72	60	0
E00001011	98	41	0
E00001012	33	62	0
E00001013	38	140	0
E00001014	67	111	0
E00001015	109	9	0
E00001016	6	138	0
E00001017	76	23	0
E00001018	50	68	0
E00001019	50	61	0
E00001020	101	19	0
E00001021	8	131	0
E00001022	122	3	0
E00001023	120	3	0
E00001024	112	19	0
E00001025	114	8	0
E00001026	55	95	0
E00001027	49	69	0
E00001028	83	65	0
E00001029	116	15	0
E00001030	75	45	0
E00001031	115	5	0
E00001032	114	16	0
E00001033	50	77	0
E00001034	6	111	0
E00001035	4	109	0
E00001036	119	2	0
E00001037	76	50	0
E00001038	67	51	0
E00001039	11	124	1
E00001040	131	2	0
E00001041	10	96	0
E00001042	110	9	0
E00001043	124	1	0
E00001044	127	3	0
E00001045	126	2	0
E00001046	117	0	0
E00001047	129	2	0
E00001048	12	144	0
E00001049	118	4	0
E00001050	50	94	0
E00001051	71	48	0
E00001052	69	52	0
E00001053	115	17	0
E00001054	124	5	0
E00001055	92	36	0
E00001056	57	76	0
E00001057	105	14	0
E00001058	63	74	0
E00001059	129	14	0
E00001060	42	63	0
E00001061	113	30	0
E00001062	87	80	0
E00001063	103	42	0
E00001064	84	33	0
E00001065	66	60	0
E00001066	84	62	0
E00001067	72	74	0
E00001068	103	34	0
E00001069	52	122	0
E00001070	95	35	0
E00001071	31	95	0
E00001072	77	64	0
E00001073	64	57	0
E00001074	91	54	0
E00001075	93	51	0
E00001076	57	71	0
E00001077	88	30	0
E00001078	24	81	0
E00001079	9	100	0
E00001080	124	3	0
E00001081	109	15	0
E00001082	112	11	0
E00001083	89	22	0
E00001084	100	6	0
E00001085	116	16	0
E00001086	123	22	0
E00001087	96	17	0
E00001088	130	12	0
E00001089	119	22	0
E00001090	63	56	0
E00001091	115	7	0
E00001092	121	27	0
E00001093	121	22	0
E00001094	102	33	0
E00001095	62	66	0
E00001096	20	83	0
E00001097	108	28	0
E00001098	110	20	0
E00001099	58	63	0
E00001100	61	76	0
E00001101	56	71	0
E00001102	47	88	0
E00001103	117	7	0
E00001104	67	64	0
E00001105	88	36	0
E00001106	49	90	0
E00001107	106	38	0
E00001108	123	1	0
E00001109	128	7	0
E00001110	122	9	0
E00001111	126	6	0
E00001112	115	9	0
E00001113	100	27	0
E00001114	101	64	0
E00001115	99	28	0
E00001116	65	56	0
E00001117	102	5	0
E00001118	118	10	0
E00001119	67	48	0
E00001120	105	25	0
E00001121	117	5	0
E00001122	82	34	0
E00001123	11	136	0
E00001124	129	7	0
E00001125	103	18	0
E00001126	81	32	0
E00001127	37	87	0
E00001128	137	8	0
E00001129	95	30	0
E00001130	112	14	0
E00001131	97	15	0
E00001132	46	88	0
E00001133	53	72	0
E00001134	95	34	0
E00001135	118	17	0
E00001136	152	34	0
E00001137	98	48	0
E00001138	103	19	0
E00001139	105	30	0
E00001140	73	41	0
E00001141	58	67	0
E00001142	91	41	0
E00001143	79	53	0
E00001144	62	63	1
E00001145	107	13	0
E00001146	119	5	0
E00001147	110	4	0
E00001148	112	9	0
E00001149	86	40	0
E00001150	132	2	0
E00001151	104	10	0
E00001152	98	33	0
E00001153	109	19	0
E00001154	117	3	0
E00001155	23	92	0
E00001156	13	94	0
E00001157	60	88	0
E00001158	82	70	0
E00001159	3	125	1
E00001160	64	89	0
E00001161	36	106	0
E00001162	4	119	0
E00001163	65	62	0
E00001164	26	102	0
E00001165	69	61	0
E00001166	9	156	0
E00001167	77	30	0
E00001168	85	29	0
E00001169	49	87	0
E00001170	2	123	0
E00001171	38	95	0
E00001172	42	79	0
E00001173	71	60	0
E00001174	29	171	0
E00001175	63	70	0
E00001176	1	149	0
E00001177	59	78	0
E00001178	100	36	0
E00001179	112	24	0
E00001180	16	91	0
E00001181	123	34	0
E00001182	88	30	0
E00001183	129	5	0
E00001184	25	130	0
E00001185	109	37	0
E00001186	80	34	0
E00001187	128	15	0
E00001188	24	100	0
E00001189	53	79	0
E00001191	109	38	0
E00001192	37	102	0
E00001193	103	42	0
E00001194	14	143	0
E00001195	71	41	0
E00001196	29	109	0
E00001197	48	68	1
E00001198	36	91	0
E00001199	20	80	0
E00001200	103	14	0
E00001201	89	21	0
E00001202	55	65	0
E00001203	15	101	0
E00001204	96	39	0
E00001205	87	38	0
E00001206	61	113	0
E00001207	74	49	0
E00001208	130	3	0
E00001209	120	6	4
E00001210	77	56	0
E00001211	72	149	0
E00001212	56	73	1
E00001213	111	9	0
E00001214	37	94	0
E00001215	117	14	0
E00001216	86	43	0
E00001217	99	27	0
E00001218	107	1	0
E00001219	88	29	0
E00001220	67	91	0
E00001221	108	3	0
E00001222	104	19	1
E00001223	107	45	0
E00001224	83	42	0
E00001225	126	1	0
E00001226	85	33	0
E00001227	86	41	0
E00001228	106	27	0
E00001229	125	4	0
E00001230	86	66	0
E00001231	78	50	0
E00001232	30	68	0
E00001233	130	14	0
E00001234	58	54	0
E00001235	69	119	0
E00001236	70	65	0
E00001237	103	6	0
E00001238	92	40	0
E00001239	55	71	0
E00001240	63	76	0
E00001241	92	33	0
E00001242	96	25	0
E00001243	59	65	0
E00001244	124	9	0
E00001245	22	97	0
E00001246	40	92	0
E00001247	69	66	0
E00001248	28	175	0
E00001249	126	2	0
E00001250	61	57	0
E00001251	8	168	0
E00001252	18	116	0
E00001253	92	0	0
E00001254	111	6	0
E00001255	107	26	0
E00001256	116	5	0
E00001257	125	2	0
E00001258	83	47	0
E00001259	48	66	0
E00001260	47	99	0
E00001261	84	51	0
E00001262	117	14	0
E00001263	112	46	0
E00001265	69	69	0
E00001266	92	44	0
E00001267	72	53	0
E00001268	84	50	0
E00001269	69	56	0
E00001270	20	118	0
E00001271	140	26	0
E00001272	36	78	0
E00001273	134	5	0
E00001274	97	44	0
E00001275	95	53	0
E00001276	129	1	0
E00001277	94	25	0
E00001278	107	10	0
E00001279	6	102	0
E00001280	63	66	0
E00001281	73	144	0
E00001282	108	13	0
E00001283	90	77	0
E00001284	54	68	0
E00001285	120	2	0
E00001286	46	91	0
E00001288	137	83	0
E00001289	122	3	0
E00001290	117	10	0
E00001291	125	104	0
E00001292	104	6	0
E00001293	125	14	0
E00001294	52	91	0
E00001295	115	28	0
E00001296	117	12	0
